fir_number,date_filed,time_filed,police_station,district,crime_type,ipc_sections,location_description,latitude,longitude,description_text,status,filed_by_officer_id,created_at
BLR-2024-0155,2026-05-18,02:15:00,Rajajinagar PS,Bengaluru West,Kidnapping,"IPC 363, IPC 365",Rajajinagar,13.007253,77.547444,"An incident of kidnapping was reported in Rajajinagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,155,2026-05-18 01:57:00
BLR-2024-0156,2025-08-23,14:50:00,Yelahanka PS,Bengaluru North,Robbery,"IPC 392, IPC 394",Frazer Town,13.067317,77.552336,"An incident of robbery was reported in Frazer Town, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,156,2025-08-23 01:58:00
BLR-2024-0157,2025-08-25,09:45:00,KR Puram PS,Bengaluru East,Theft,IPC 379,Sarjapur,13.009798,77.651077,A case of theft occurred near Sarjapur area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,157,2025-08-25 03:33:00
BLR-2024-0158,2026-03-19,13:20:00,Jayanagar PS,Bengaluru South,Chain Snatching,IPC 379,Jayanagar,12.953944,77.608133,A case of chain snatching occurred near Jayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,158,2026-03-19 03:47:00
BLR-2024-0159,2025-08-08,11:00:00,Indiranagar PS,Bengaluru East,Vehicle Theft,IPC 379,HSR Layout,12.987467,77.639036,"An incident of vehicle theft was reported in HSR Layout, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",closed,159,2025-08-08 05:23:00
BLR-2024-0160,2025-06-24,20:00:00,Yelahanka PS,Bengaluru North,Domestic Violence,"IPC 498A, IPC 323",Yelahanka,13.067441,77.550974,A case of domestic violence occurred near Yelahanka area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,160,2025-06-24 04:23:00
BLR-2024-0161,2025-09-13,14:50:00,Vijayanagar PS,Bengaluru West,Burglary,IPC 379,Vijayanagar,13.005074,77.557569,A case of burglary occurred near Vijayanagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,161,2025-09-13 02:30:00
BLR-2024-0162,2025-11-14,22:45:00,Malleswaram PS,Bengaluru North,Cybercrime,"IT Act 66C, IT Act 66D",Malleshwaram,13.073054,77.589299,"An incident of cybercrime was reported in Malleshwaram, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,162,2025-11-14 01:40:00
BLR-2024-0163,2025-08-02,16:10:00,Basavanagudi PS,Bengaluru West,Cybercrime,"IT Act 66C, IT Act 66D",Basavanagudi,13.024563,77.521153,"An incident of cybercrime was reported in Basavanagudi, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,163,2025-08-02 02:02:00
BLR-2024-0164,2026-02-26,08:15:00,Cunningham Road PS,Bengaluru Central,Burglary,IPC 379,Cunningham Road,12.982175,77.599705,A case of burglary occurred near Cunningham Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,164,2026-02-26 05:08:00
BLR-2024-0165,2025-08-26,02:15:00,Cunningham Road PS,Bengaluru Central,Robbery,"IPC 392, IPC 394",Cunningham Road,12.988146,77.606819,Residents of Cunningham Road reported a robbery incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,165,2025-08-26 04:37:00
BLR-2024-0166,2025-12-06,22:45:00,BTM Layout PS,Bengaluru South,Stalking,IPC 354D,Brigade Road,12.935845,77.608359,A complaint regarding stalking was lodged at the Brigade Road police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,166,2025-12-06 03:02:00
BLR-2024-0167,2025-12-30,14:50:00,Whitefield PS,Bengaluru East,Drug Possession,IPC 379,Frazer Town,12.985471,77.744067,A complaint regarding drug possession was lodged at the Frazer Town police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,167,2025-12-30 03:34:00
BLR-2024-0168,2026-04-07,08:15:00,Shivajinagar PS,Bengaluru East,Drug Possession,IPC 379,Shivajinagar,12.954844,77.663106,A case of drug possession occurred near Shivajinagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,168,2026-04-07 01:42:00
BLR-2024-0169,2025-06-07,06:30:00,Hebbal PS,Bengaluru North,Cybercrime,"IT Act 66C, IT Act 66D",Hebbal,13.058502,77.5918,A case of cybercrime occurred near Hebbal area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,169,2025-06-07 03:15:00
BLR-2024-0170,2025-09-13,20:00:00,Basavanagudi PS,Bengaluru South,Domestic Violence,"IPC 498A, IPC 323",Basavanagudi,12.945088,77.564364,A case of domestic violence occurred near Basavanagudi area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,170,2025-09-13 05:13:00
BLR-2024-0171,2026-02-25,22:45:00,JP Nagar PS,Bengaluru South,Cheating,IPC 379,JP Nagar,12.912999,77.560329,Residents of JP Nagar reported a cheating incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,171,2026-02-25 03:54:00
BLR-2024-0172,2026-01-04,09:45:00,JP Nagar PS,Bengaluru South,Cybercrime,"IT Act 66C, IT Act 66D",JP Nagar,12.959127,77.587815,A case of cybercrime occurred near JP Nagar area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,172,2026-01-04 01:08:00
BLR-2024-0173,2025-10-23,22:45:00,Rajajinagar PS,Bengaluru West,Fraud,"IPC 420, IPC 468",Rajajinagar,12.991495,77.55519,A complaint regarding fraud was lodged at the Rajajinagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,173,2025-10-23 01:11:00
BLR-2024-0174,2026-01-08,08:15:00,Indiranagar PS,Bengaluru East,Assault,"IPC 351, IPC 352",Frazer Town,12.960141,77.680515,A case of assault occurred near Frazer Town area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,174,2026-01-08 04:28:00
BLR-2024-0175,2025-08-11,20:00:00,Vijayanagar PS,Bengaluru West,Stalking,IPC 354D,Vijayanagar,13.000794,77.507634,"An incident of stalking was reported in Vijayanagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,175,2025-08-11 05:02:00
BLR-2024-0176,2026-05-16,06:30:00,Shivajinagar PS,Bengaluru Central,Kidnapping,"IPC 363, IPC 365",Electronic City,12.988322,77.618561,A case of kidnapping occurred near Electronic City area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,176,2026-05-16 04:27:00
BLR-2024-0177,2025-12-15,08:15:00,Jalahalli PS,Bengaluru North,Domestic Violence,"IPC 498A, IPC 323",Sarjapur,13.062744,77.581049,A case of domestic violence occurred near Sarjapur area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,177,2025-12-15 05:09:00
BLR-2024-0178,2025-12-19,22:45:00,JP Nagar PS,Bengaluru South,Drug Possession,IPC 379,JP Nagar,12.898833,77.593702,"An incident of drug possession was reported in JP Nagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,178,2025-12-19 03:24:00
BLR-2024-0179,2026-02-01,16:10:00,Cunningham Road PS,Bengaluru Central,Domestic Violence,"IPC 498A, IPC 323",HSR Layout,12.981796,77.600222,A complaint regarding domestic violence was lodged at the HSR Layout police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,179,2026-02-01 01:54:00
BLR-2024-0180,2025-09-08,16:10:00,MG Road PS,Bengaluru Central,Fraud,"IPC 420, IPC 468",Bannerghatta Road,12.987203,77.615524,A case of fraud occurred near Bannerghatta Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,180,2025-09-08 04:25:00
BLR-2024-0181,2026-02-17,13:20:00,Rajajinagar PS,Bengaluru West,Vandalism,"IPC 427, IPC 435",Electronic City,12.988753,77.521877,A complaint regarding vandalism was lodged at the Electronic City police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,181,2026-02-17 02:43:00
BLR-2024-0182,2025-09-13,08:15:00,Shivajinagar PS,Bengaluru West,Robbery,"IPC 392, IPC 394",Shivajinagar,12.974028,77.558224,A complaint regarding robbery was lodged at the Shivajinagar police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,closed,182,2025-09-13 01:47:00
BLR-2024-0183,2026-04-24,20:00:00,Whitefield PS,Bengaluru East,Robbery,"IPC 392, IPC 394",Koramangala,12.99451,77.700376,"An incident of robbery was reported in Koramangala, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,183,2026-04-24 03:42:00
BLR-2024-0184,2026-03-19,16:10:00,Jalahalli PS,Bengaluru North,Assault,"IPC 351, IPC 352",Brigade Road,13.041216,77.596574,"An incident of assault was reported in Brigade Road, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,184,2026-03-19 03:38:00
BLR-2024-0185,2026-04-23,11:00:00,Hebbal PS,Bengaluru North,Kidnapping,"IPC 363, IPC 365",Hebbal,13.041099,77.590454,A complaint regarding kidnapping was lodged at the Hebbal police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,open,185,2026-04-23 04:14:00
BLR-2024-0186,2025-07-30,08:15:00,Vijayanagar PS,Bengaluru West,Vehicle Theft,IPC 379,Vijayanagar,12.991007,77.538939,"An incident of vehicle theft was reported in Vijayanagar, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,186,2025-07-30 05:14:00
BLR-2024-0187,2025-11-10,22:45:00,Hebbal PS,Bengaluru North,Cybercrime,"IT Act 66C, IT Act 66D",Hebbal,13.070709,77.618218,A case of cybercrime occurred near Hebbal area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,under_investigation,187,2025-11-10 05:01:00
BLR-2024-0188,2025-09-19,13:20:00,Basavanagudi PS,Bengaluru Central,Vandalism,"IPC 427, IPC 435",Basavanagudi,13.007163,77.613178,"An incident of vandalism was reported in Basavanagudi, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",open,188,2025-09-19 02:17:00
BLR-2024-0189,2026-06-06,09:45:00,KR Puram PS,Bengaluru East,Theft,IPC 379,Electronic City,12.978082,77.651769,Residents of Electronic City reported a theft incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,189,2026-06-06 04:04:00
BLR-2024-0190,2025-10-05,16:10:00,Jayanagar PS,Bengaluru South,Kidnapping,"IPC 363, IPC 365",Brigade Road,12.896423,77.587134,A case of kidnapping occurred near Brigade Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,190,2025-10-05 04:21:00
BLR-2024-0191,2026-04-14,22:45:00,Cunningham Road PS,Bengaluru Central,Robbery,"IPC 392, IPC 394",Cunningham Road,12.984802,77.608864,Residents of Cunningham Road reported a robbery incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,191,2026-04-14 01:56:00
BLR-2024-0192,2025-11-15,06:30:00,BTM Layout PS,Bengaluru South,Hit and Run,"IPC 279, IPC 304A",BTM Layout,12.900891,77.602811,A case of hit and run occurred near BTM Layout area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,open,192,2025-11-15 03:28:00
BLR-2024-0193,2026-06-02,13:20:00,BTM Layout PS,Bengaluru South,Cheating,IPC 379,BTM Layout,12.923996,77.580943,Residents of BTM Layout reported a cheating incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,193,2026-06-02 05:07:00
BLR-2024-0194,2025-09-29,00:30:00,Yelahanka PS,Bengaluru North,Vehicle Theft,IPC 379,Yelahanka,13.045795,77.569827,"An incident of vehicle theft was reported in Yelahanka, Bangalore. The victim approached the local police station and filed a complaint. Witnesses present at the scene confirmed the occurrence of the incident. Police have registered the case and begun their investigation.",under_investigation,194,2025-09-29 04:33:00
BLR-2024-0195,2026-05-14,06:30:00,Indiranagar PS,Bengaluru East,Cybercrime,"IT Act 66C, IT Act 66D",Bellandur,12.967641,77.748133,Residents of Bellandur reported a cybercrime incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,195,2026-05-14 02:19:00
BLR-2024-0196,2026-04-01,13:20:00,Yelahanka PS,Bengaluru North,Kidnapping,"IPC 363, IPC 365",Yelahanka,13.066041,77.603491,Residents of Yelahanka reported a kidnapping incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,open,196,2026-04-01 01:00:00
BLR-2024-0197,2026-05-28,16:10:00,BTM Layout PS,Bengaluru South,Cybercrime,"IT Act 66C, IT Act 66D",BTM Layout,12.942291,77.562299,A complaint regarding cybercrime was lodged at the BTM Layout police station. The incident reportedly occurred in a busy area during daylight hours. Local authorities have taken cognizance of the matter and filed an FIR. Further investigation is underway to identify and apprehend the suspect.,under_investigation,197,2026-05-28 02:32:00
BLR-2024-0198,2026-05-08,08:15:00,Basavanagudi PS,Bengaluru Central,Vandalism,"IPC 427, IPC 435",Basavanagudi,13.003334,77.612248,A case of vandalism occurred near Basavanagudi area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,198,2026-05-08 01:27:00
BLR-2024-0199,2025-06-16,14:50:00,Marathahalli PS,Bengaluru East,Burglary,IPC 379,Marathahalli,12.98678,77.639344,Residents of Marathahalli reported a burglary incident to the police. The victim sustained losses and immediately notified the nearest police station. CCTV footage from nearby cameras is being reviewed by the investigating team. The police have assured that the matter will be resolved promptly.,under_investigation,199,2025-06-16 04:36:00
BLR-2024-0200,2026-02-14,08:15:00,Cunningham Road PS,Bengaluru Central,Vehicle Theft,IPC 379,Cunningham Road,12.99838,77.596708,A case of vehicle theft occurred near Cunningham Road area in Bangalore. The complainant stated that the incident took place during the early hours. The accused fled the scene before authorities could arrive. Officers have collected evidence and are currently pursuing leads.,closed,200,2026-02-14 01:20:00
